territory,winner,players,power,day
Illinois,Wisconsin,37,282.75,36
TCU,Michigan,143,694.0,36
Wyoming,Nebraska,59,600.0,36
Connecticut,Michigan,145,544.0,36
BYU,Nebraska,84,488.0,36
San José State,Michigan,41,394.5,36
Minnesota,Wisconsin,35,259.0,36
Louisville,Chaos,23,226.25,36
Georgia Southern,Georgia Tech,45,362.0,36
Nevada,Michigan,115,687.25,36
Boston College,Michigan,81,574.0,36
LSU,Alabama,5,30.0,36
East Carolina,Georgia Tech,4,31.0,36
Oregon State,Nebraska,14,51.0,36
Iowa,Wisconsin,37,303.0,36
Appalachian State,Georgia Tech,26,186.0,36
Arkansas,Texas,38,305.5,36
Miami,Chaos,46,337.5,36
Air Force,Nebraska,9,138.0,36
Troy,Alabama,10,33.0,36
South Alabama,Alabama,6,26.0,36
Georgia State,Georgia Tech,39,343.0,36
UTEP,Texas A&M,3,28.5,36
Georgia,Georgia Tech,63,259.0,36
Hawai'i,Georgia Tech,50,283.0,36
Tennessee,Georgia Tech,75,387.0,36
Army,Michigan,69,467.5,36
Louisiana Tech,Alabama,43,363.5,36
New Mexico,Texas A&M,83,404.0,36
UNLV,Michigan,102,675.0,36
San Diego State,Georgia Tech,21,171.0,36
Liberty,Michigan,35,145.0,36
Alabama,Alabama,13,88.5,36
Vanderbilt,Chaos,57,582.25,36
Virginia,Ohio State,52,253.0,36
Arizona,Michigan,63,523.5,36
Washington,Michigan,5,32.0,36
North Carolina,Georgia Tech,7,31.5,36
Toledo,Wisconsin,83,684.5,36
UCLA,Michigan,66,322.0,36
Old Dominion,Michigan,36,61.0,36
Arizona State,Michigan,66,504.5,36
Utah State,Nebraska,61,509.5,36
Oklahoma,Wisconsin,55,442.0,36
Mississippi State,Georgia Tech,5,18.0,36
Florida State,Georgia Tech,6,78.0,36
Bowling Green,Michigan,67,457.0,36
Missouri,Texas,99,610.75,36
Virginia Tech,Michigan,72,410.5,36
Southern Mississippi,Georgia Tech,8,56.0,36
Chaos,Nebraska,28,73.5,36
South Carolina,Georgia Tech,30,239.75,36
Kentucky,Chaos,54,197.0,36
Arkansas State,Nebraska,12,75.5,36
Nebraska,Nebraska,28,278.0,36
Ohio,Ohio State,38,132.5,36
UAB,Alabama,5,15.0,36
Rice,Texas A&M,99,581.0,36
SMU,Michigan,65,485.5,36
Cincinnati,Wisconsin,6,28.5,36
Kansas,Texas,11,73.0,36
Fresno State,Michigan,43,446.0,36
Marshall,Wisconsin,52,191.0,36
Boise State,Nebraska,10,76.0,36
Louisiana Monroe,Georgia Tech,76,340.0,36
West Virginia,Ohio State,89,252.5,36
Tulane,Georgia Tech,5,22.5,36
Pittsburgh,Ohio State,101,453.5,37
Missouri,Chaos,80,787.5,37
Texas Tech,Wisconsin,42,296.0,37
USC,Michigan,91,428.5,37
Texas State,Texas A&M,72,356.0,37
Iowa State,Nebraska,13,125.5,37
Houston,Texas A&M,89,477.0,37
Air Force,Texas A&M,20,176.5,37
Rutgers,Michigan,37,264.0,37
Texas A&M,Texas,118,637.0,37
Indiana,Wisconsin,26,208.5,37
NC State,Georgia Tech,5,34.0,37
Vanderbilt,Nebraska,37,201.0,37
Tulsa,Texas,41,303.5,37
New Mexico State,Michigan,85,427.0,37
Oregon State,Michigan,5,18.5,37
Wake Forest,Georgia Tech,13,145.5,37
Middle Tennessee,Georgia Tech,13,93.0,37
Akron,Michigan,31,338.0,37
Tennessee,Chaos,27,257.0,37
Charlotte,Chaos,22,192.0,37
Syracuse,Michigan,133,653.0,37
Arkansas State,Chaos,79,630.0,37
North Texas,Wisconsin,50,271.5,37
Ole Miss,Nebraska,88,665.5,37
Chaos,Michigan,30,68.5,37
Temple,Michigan,81,502.5,37
Arkansas,Alabama,39,331.0,37
Georgia Tech,Georgia Tech,5,39.0,37
Louisville,Wisconsin,36,250.0,37
Ohio State,Ohio State,57,239.5,37
Buffalo,Michigan,54,529.0,37
Memphis,Chaos,56,418.0,37
Utah,Nebraska,7,70.0,37
Kent State,Ohio State,42,229.0,37
Louisiana,Alabama,16,166.5,37
Ball State,Michigan,64,547.5,37
Appalachian State,Chaos,21,196.5,37
Texas,Texas A&M,130,822.0,37
Navy,Ohio State,44,196.0,37
Virginia Tech,Georgia Tech,44,232.0,37
Mississippi State,Chaos,51,503.0,37
Auburn,Alabama,23,180.5,37
Illinois,Wisconsin,77,623.5,37
Oregon,Michigan,10,15.0,37
TCU,Michigan,110,684.5,37
Wyoming,Nebraska,72,571.0,37
Colorado,Nebraska,28,153.5,37
Connecticut,Michigan,145,687.5,37
Arizona State,Georgia Tech,73,355.0,37
Oklahoma State,Wisconsin,32,345.0,37
Alabama,Chaos,54,357.5,37
Minnesota,Wisconsin,34,254.5,37
Florida Atlantic,Chaos,32,271.5,37
Nevada,Michigan,11,18.0,37
Boston College,Michigan,316,1119.5,37
LSU,Alabama,23,188.0,37
Maryland,Ohio State,42,329.5,37
East Carolina,Georgia Tech,4,48.0,37
Iowa,Wisconsin,59,468.5,37
Troy,Alabama,22,191.0,37
South Alabama,Alabama,22,158.0,37
Georgia State,Georgia Tech,2,12.0,37
UTEP,Texas A&M,79,429.5,37
Georgia,Georgia Tech,40,355.5,37
Army,Michigan,153,722.5,37
New Mexico,Texas A&M,50,360.0,37
UNLV,Michigan,14,38.5,37
SMU,Texas A&M,103,573.0,37
Miami,Georgia Tech,22,124.0,37
San Diego State,Georgia Tech,61,445.0,37
UMass,Michigan,86,797.0,37
Florida International,Chaos,22,208.5,37
Virginia,Ohio State,36,205.0,37
Arizona,Michigan,43,433.5,37
Miami (OH),Wisconsin,84,575.5,37
Western Kentucky,Chaos,49,537.5,37
Washington,Michigan,4,22.5,37
North Carolina,Georgia Tech,9,90.0,37
Clemson,Georgia Tech,43,228.0,37
Washington State,Nebraska,12,29.0,37
Toledo,Wisconsin,89,732.5,37
South Carolina,Chaos,33,244.5,37
Utah State,Nebraska,10,95.0,37
Coastal Carolina,Chaos,20,208.5,37
Kansas State,Nebraska,4,57.0,37
Old Dominion,Georgia Tech,83,359.5,37
Oklahoma,Wisconsin,55,456.0,37
Florida State,Georgia Tech,3,28.5,37
Bowling Green,Michigan,82,562.0,37
Baylor,Texas A&M,233,884.0,37
Southern Mississippi,Georgia Tech,25,155.0,37
Liberty,Ohio State,75,388.0,37
Tulane,Alabama,10,40.0,37
Colorado State,Nebraska,13,90.0,37
Kentucky,Chaos,64,229.0,37
Nebraska,Nebraska,35,329.0,37
Penn State,Michigan,43,438.0,37
Ohio,Ohio State,9,41.0,37
Duke,Georgia Tech,50,214.0,37
UAB,Alabama,24,257.5,37
Hawai'i,Chaos,19,169.5,37
Louisiana Monroe,Texas,34,156.5,37
Kansas,Texas,13,105.5,37
Marshall,Wisconsin,43,133.0,37
Boise State,Nebraska,2,10.5,37
West Virginia,Ohio State,30,186.0,37
Louisiana Tech,Michigan,75,489.5,37
Cincinnati,Ohio State,56,179.5,37
